trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,4.png,5.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,6.png,13.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,13.png,16.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,2.png,7.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,1.png,12.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,12.png,5.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,7.png,16.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,11.png,6.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,13.png,6.png,3.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,13.png,12.png,7.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,8.png,1.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,11.png,14.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,7.png,16.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,13.png,2.png,5.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,15.png,8.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,14.png,11.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,13.png,12.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,14.png,3.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,13.png,12.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,2.png,1.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,13.png,6.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,10.png,15.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,3.png,2.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,7.png,6.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,12.png,13.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,9.png,16.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,9.png,6.png,3.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,6.png,7.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,14.png,7.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,1.png,14.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,13.png,4.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,12.png,5.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,4.png,9.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,11.png,2.png,9.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,9.png,10.png,13.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,15.png,12.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,15.png,4.png,3.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,5.png,2.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,15.png,10.png,13.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,5.png,2.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,5.png,12.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,6.png,5.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,14.png,5.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,11.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,1.png,12.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,14.png,15.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,11.png,10.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,1.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,8.png,11.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,6.png,11.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,15.png,12.png,1.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,2.png,3.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,9.png,16.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,7.png,14.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,15.png,12.png,9.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,11.png,10.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,9.png,8.png,11.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,6.png,11.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,6.png,3.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,11.png,15.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,3.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,11.png,3.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,11.png,4.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,5.png,8.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,13.png,1.png,2.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,12.png,13.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,1.png,11.png,6.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,14.png,15.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,11.png,2.png,7.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,4.png,9.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,9.png,1.png,4.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,3.png,1.png,16.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,7.png,15.png,10.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,4.png,3.png
,GAIN,white,gain,LOSS,white,GAIN,white,buttonB,5.png,16.png,13.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,6.png,9.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,12.png,9.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,6.png,9.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,16.png,3.png,12.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,16.png,13.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,12.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,1.png,8.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,8.png,7.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,6.png,9.png,4.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,5.png,12.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,6.png,13.png,4.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,1.png,12.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,11.png,10.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,14.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,14.png,5.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,14.png,5.png,2.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,15.png,16.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,6.png,15.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,10.png,7.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,11.png,14.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,6.png,16.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,1.png,16.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,1.png,10.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,6.png,1.png,8.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,16.png,5.png,4.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,2.png,7.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,9.png,4.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,14.png,6.png,3.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,5.png,10.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,10.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,16.png,6.png,11.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,14.png,11.png,10.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,5.png,10.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,12.png,5.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,1.png,6.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,11.png,14.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,4.png,12.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,2.png,6.png,5.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,16.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,16.png,15.png,6.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,2.png,1.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,14.png,10.png,13.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,15.png,12.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,9.png,16.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,10.png,14.png,11.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,6.png,9.png,4.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,8.png,3.png,6.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,16.png,3.png,12.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,7.png,14.png
,GAIN,white,loss,GAIN,white,LOSS,white,buttonB,12.png,5.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,6.png,12.png,1.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,6.png,7.png,2.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,11.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,13.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,16.png,11.png,6.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,9.png,14.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,16.png,1.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,8.png,15.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,12.png,5.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,13.png,14.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,5.png,2.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,11.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,2.png,7.png,14.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,16.png,4.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,6.png,2.png,3.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,14.png,11.png,2.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,14.png,1.png,4.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,6.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,14.png,7.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,1.png,6.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,2.png,14.png,11.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,10.png,7.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,3.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,6.png,7.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,4.png,1.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,14.png,5.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,14.png,6.png,7.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,16.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,2.png,13.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,3.png,10.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,5.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,12.png,7.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,2.png,14.png,1.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,6.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,9.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,16.png,7.png,2.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,11.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,5.png,12.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,4.png,2.png,11.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,13.png,16.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,14.png,3.png,4.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,2.png,13.png,14.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,10.png,2.png,13.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,3.png,6.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,11.png,4.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,8.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,12.png,2.png,9.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,13.png,14.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,6.png,8.png,15.png
,GAIN,white,loss,LOSS,white,GAIN,white,buttonA,8.png,3.png,16.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,14.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,16.png,13.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,16.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,11.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,16.png,13.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,16.png,15.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,13.png,8.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,4.png,3.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,14.png,13.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,14.png,11.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,11.png,12.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,5.png,12.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,13.png,10.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,4.png,5.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,15.png,4.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,9.png,3.png,14.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,12.png,5.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,13.png,14.png,7.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,5.png,8.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,16.png,3.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,9.png,11.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,7.png,6.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,8.png,7.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,16.png,9.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,6.png,5.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,15.png,10.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,9.png,5.png,14.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,12.png,9.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,14.png,11.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,11.png,14.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,1.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,10.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,13.png,12.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,15.png,5.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,9.png,11.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,3.png,8.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,4.png,1.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,5.png,16.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,6.png,7.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,15.png,7.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,11.png,5.png,16.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,3.png,7.png,12.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,13.png,14.png,9.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,9.png,10.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,5.png,12.png,11.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,13.png,14.png,11.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,15.png,2.png,13.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,7.png,1.png,14.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,1.png,11.png,2.png
,LOSS,white,gain,GAIN,white,LOSS,white,buttonA,9.png,13.png,6.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,9.png,8.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,13.png,2.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,13.png,4.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,5.png,4.png,15.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,9.png,8.png,7.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,5.png,14.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,1.png,5.png,16.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,5.png,16.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,9.png,14.png,3.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,13.png,3.png,12.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,11.png,4.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,5.png,1.png,16.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,9.png,3.png,14.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,15.png,7.png,2.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,16.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,5.png,14.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,13.png,12.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,1.png,12.png,7.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,4.png,15.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,10.png,5.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,10.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,4.png,5.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,6.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,2.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,15.png,14.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,6.png,15.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,4.png,15.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,1.png,12.png,13.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,12.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,13.png,14.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,15.png,6.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,13.png,6.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,3.png,2.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,8.png,5.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,13.png,4.png,7.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,8.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,9.png,12.png,15.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,1.png,15.png,6.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,5.png,6.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,11.png,4.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,16.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,15.png,6.png,5.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,3.png,16.png,13.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,8.png,13.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,13.png,5.png,6.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,9.png,6.png,1.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,12.png,13.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,7.png,14.png,11.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,11.png,3.png,16.png
,LOSS,white,gain,LOSS,white,GAIN,white,buttonB,1.png,15.png,6.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,6.png,15.png,2.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,12.png,11.png,8.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,4.png,6.png,11.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,12.png,8.png,5.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,16.png,10.png,5.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,12.png,15.png,14.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,14.png,13.png,8.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,14.png,12.png,7.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,13.png,14.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,4.png,11.png,2.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,4.png,1.png,8.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,6.png,9.png,4.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,8.png,1.png,2.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,16.png,11.png,6.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,8.png,13.png,12.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,14.png,2.png,15.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,16.png,11.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,11.png,2.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,12.png,13.png,14.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,14.png,11.png,8.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,4.png,16.png,15.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,14.png,6.png,13.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,13.png,16.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,16.png,2.png,11.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,8.png,9.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,6.png,4.png,5.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,12.png,9.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,10.png,8.png,5.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,8.png,12.png,3.png
,LOSS,white,loss,GAIN,white,LOSS,white,buttonB,2.png,6.png,5.png
